chr	start	end	pos.hg38
chr7	138169796	138169816	138169806
chr7	139647331	139647351	139647341
chr7	100221477	100221497	100221487
chr7	2037412	2037432	2037422
chr7	8263091	8263111	8263101
chr7	90709808	90709828	90709818
chr7	127395794	127395814	127395804
chr7	99373159	99373179	99373169
chr7	143331605	143331625	143331615
chr8	30656181	30656201	30656191
chr8	22701199	22701219	22701209
chr8	129935133	129935153	129935143
chr8	128019567	128019587	128019577
chr8	143933932	143933952	143933942
chr8	127458538	127458558	127458548
chr8	29103829	29103849	29103839
chr8	132760837	132760857	132760847
chr8	144878826	144878846	144878836
chr8	19683213	19683233	19683223
chr8	28083878	28083898	28083888
chr8	47431488	47431508	47431498
chr8	73012680	73012700	73012690
chr8	127732781	127732801	127732791
chr8	19682689	19682709	19682699
chr8	51858896	51858916	51858906
chr8	23243458	23243478	23243468
chr8	70651880	70651900	70651890
chr8	42857159	42857179	42857169
chr8	143361037	143361057	143361047
chr8	102125036	102125056	102125046
chr9	132978595	132978615	132978605
chr9	125260069	125260089	125260079
chr9	131418396	131418416	131418406
chr9	129836628	129836648	129836638
chr9	111926447	111926467	111926457
chr9	136696298	136696318	136696308
chr10	122468952	122468972	122468962
chr10	80203642	80203662	80203652
chr10	30437592	30437612	30437602
chr10	119653660	119653680	119653670
chr10	29480531	29480551	29480541
chr10	92692787	92692807	92692797
chr10	88152962	88152982	88152972
chr10	114538570	114538590	114538580
chr10	80488087	80488107	80488097
chr10	3467556	3467576	3467566
chr10	88271659	88271679	88271669
chr10	30435435	30435455	30435445
chr10	50410659	50410679	50410669
chr10	75176317	75176337	75176327
chr10	124601392	124601412	124601402
chr10	5840766	5840786	5840776
chr10	80466005	80466025	80466015
chr10	35128225	35128245	35128235
chr10	61767244	61767264	61767254
chr10	92238910	92238930	92238920
chr10	109934155	109934175	109934165
chr11	32033677	32033697	32033687
chr11	67440017	67440037	67440027
chr11	134256460	134256480	134256470
chr11	61066049	61066069	61066059
chr11	118224819	118224839	118224829
chr11	64780164	64780184	64780174
chr11	128697053	128697073	128697063
chr11	12159910	12159930	12159920
chr11	1554367	1554387	1554377
chr11	61880650	61880670	61880660
chr11	73367781	73367801	73367791
chr11	65639918	65639938	65639928
chr11	10859078	10859098	10859088
chr11	6204519	6204539	6204529
chr11	110479840	110479860	110479850
chr11	16002152	16002172	16002162
chr11	66316060	66316080	66316070
chr11	2300715	2300735	2300725
chr11	35142928	35142948	35142938
chr11	47918207	47918227	47918217
chr11	59058992	59059012	59059002
chr11	13673090	13673110	13673100
chr11	1554541	1554561	1554551
chr11	121570161	121570181	121570171
chr11	35083642	35083662	35083652
chr11	134256419	134256439	134256429
chr11	66315743	66315763	66315753
chr11	36594455	36594475	36594465
chr11	65408001	65408021	65408011
chr11	65428644	65428664	65428654
chr11	96338332	96338352	96338342
chr11	128480730	128480750	128480740
chr11	579188	579208	579198
chr11	33286789	33286809	33286799
chr11	59058931	59058951	59058941
chr11	64612104	64612124	64612114
chr11	86513358	86513378	86513368
chr12	6786929	6786949	6786939
chr12	10308030	10308050	10308040
chr12	121792574	121792594	121792584
chr12	6540818	6540838	6540828
chr12	92467276	92467296	92467286
chr12	53103048	53103068	53103058
chr12	122895012	122895032	122895022
chr12	4589909	4589929	4589919
chr12	10307314	10307334	10307324
chr12	75978248	75978268	75978258
chr12	55935937	55935957	55935947
chr12	11651171	11651191	11651181
chr12	10307363	10307383	10307373
chr12	95006400	95006420	95006410
chr12	10307303	10307323	10307313
chr12	262873	262893	262883
chr12	89524434	89524454	89524444
chr12	50745528	50745548	50745538
chr12	22535799	22535819	22535809
chr12	10308003	10308023	10308013
chr12	10172309	10172329	10172319
chr12	11556171	11556191	11556181
chr12	104604394	104604414	104604404
chr12	26972152	26972172	26972162
chr12	55935821	55935841	55935831
chr12	54983103	54983123	54983113
chr12	117063632	117063652	117063642
chr12	89245103	89245123	89245113
chr12	110686400	110686420	110686410
chr12	6946279	6946299	6946289
chr12	10392474	10392494	10392484
chr13	20460930	20460950	20460940
chr13	26983356	26983376	26983366
chr13	113258770	113258790	113258780
chr13	41357035	41357055	41357045
chr13	41470527	41470547	41470537
chr13	48792057	48792077	48792067
chr13	98571298	98571318	98571308
chr13	33797690	33797710	33797700
chr13	40490335	40490355	40490345
chr13	30374569	30374589	30374579
chr14	24610141	24610161	24610151
chr14	106851655	106851675	106851665
chr14	99245493	99245513	99245503
chr14	102210610	102210630	102210620
chr14	80959558	80959578	80959568
chr14	91399971	91399991	91399981
chr14	60758566	60758586	60758576
chr14	106851789	106851809	106851799
chr14	23120200	23120220	23120210
chr14	89616921	89616941	89616931
chr14	99245405	99245425	99245415
chr14	24634514	24634534	24634524
chr14	102946633	102946653	102946643
chr14	57493736	57493756	57493746
chr14	65206918	65206938	65206928
chr14	101731810	101731830	101731820
chr14	95525024	95525044	95525034
chr15	92819007	92819027	92819017
chr15	74570311	74570331	74570321
chr15	98713635	98713655	98713645
chr15	57032125	57032145	57032135
chr15	55270195	55270215	55270205
chr15	42210831	42210851	42210841
chr15	25717562	25717582	25717572
chr15	88652314	88652334	88652324
chr15	40553868	40553888	40553878
chr15	85793390	85793410	85793400
chr15	99439075	99439095	99439085
chr15	58332325	58332345	58332335
chr15	70094868	70094888	70094878
chr16	28208937	28208957	28208947
chr16	11342000	11342020	11342010
chr16	57628619	57628639	57628629
chr16	56992107	56992127	56992117
chr16	28931688	28931708	28931698
chr16	89097160	89097180	89097170
chr16	85935685	85935705	85935695
chr16	85977999	85978019	85978009
chr16	89472812	89472832	89472822
chr16	11613819	11613839	11613829
chr16	50746327	50746347	50746337
chr16	68000089	68000109	68000099
chr16	3547141	3547161	3547151
chr16	72007467	72007487	72007477
chr16	23839073	23839093	23839083
chr16	27450307	27450327	27450317
chr17	77450457	77450477	77450467
chr17	76643802	76643822	76643812
chr17	41932417	41932437	41932427
chr17	19007720	19007740	19007730
chr17	36066845	36066865	36066855
chr17	494840	494860	494850
chr17	35099856	35099876	35099866
chr17	76427886	76427906	76427896
chr17	49389849	49389869	49389859
chr17	62668783	62668803	62668793
chr17	68312426	68312446	68312436
chr17	4178123	4178143	4178133
chr17	7888806	7888826	7888816
chr17	82875168	82875188	82875178
chr17	81074062	81074082	81074072
chr17	77100110	77100130	77100120
chr17	14201332	14201352	14201342
chr17	39224564	39224584	39224574
chr17	49277843	49277863	49277853
chr18	23871589	23871609	23871599
chr18	79460702	79460722	79460712
chr18	23134522	23134542	23134532
chr19	13100401	13100421	13100411
chr19	10408689	10408709	10408699
chr19	54803419	54803439	54803429
chr19	10868147	10868167	10868157
chr19	10339336	10339356	10339346
chr19	51369101	51369121	51369111
chr19	51123719	51123739	51123729
chr19	1090969	1090989	1090979
chr19	54572792	54572812	54572802
chr19	42114245	42114265	42114255
chr19	8515615	8515635	8515625
chr19	13100437	13100457	13100447
chr19	10197854	10197874	10197864
chr20	17612786	17612806	17612796
chr20	53581676	53581696	53581686
chr20	1943909	1943929	1943919
chr21	42232584	42232604	42232594
chr21	44145436	44145456	44145446
chr21	34075905	34075925	34075915
chr22	19022896	19022916	19022906
chr22	39685505	39685525	39685515
chr22	31661069	31661089	31661079
chr22	36166344	36166364	36166354
chr22	46371269	46371289	46371279
chr22	50473867	50473887	50473877
chr22	38494699	38494719	38494709
chr22	37633461	37633481	37633471
