chr	start	end	uniq_id	type
chr1	44617442	44617462	cg13189207	epithelial
chr1	44617525	44617545	cg20944964	epithelial
chr1	44638285	44638305	cg09899564	cord_blood
chr1	46286293	46286313	cg21407196	cord_blood
chr1	46818945	46818965	cg19092343	epithelial
chr1	47229726	47229746	cg06955484	cord_blood
chr1	52426528	52426548	cg05931551	cord_blood
chr1	54289470	54289490	cg09586583	cord_blood
chr1	54477450	54477470	cg17085123	cord_blood
chr1	58848832	58848852	cg11586930	epithelial
chr1	59026208	59026228	cg08939052	cord_blood
chr1	60832739	60832759	cg07813031	epithelial
chr1	64892700	64892720	cg07798602	cord_blood
chr1	66333726	66333746	cg23045908	blood
chr1	71166551	71166571	cg21474774	epithelial
chr1	78620018	78620038	cg17980508	cord_blood
chr1	83860973	83860993	cg18116902	epithelial
chr1	85582218	85582238	cg13206932	epithelial
chr1	87956132	87956152	cg23036668	epithelial
chr1	89819117	89819137	cg01167323	cord_blood
chr1	92481133	92481153	cg18146737	epithelial
chr1	92487088	92487108	cg23624705	blood
chr1	93702065	93702085	cg04165508	epithelial
chr1	93758708	93758728	cg11650164	cord_blood
chr1	93779660	93779680	cg24937735	epithelial
chr1	94021329	94021349	cg18800235	blood
chr1	94654148	94654168	cg23080355	epithelial
chr1	95087406	95087426	cg13373343	cord_blood
chr1	108699471	108699491	cg21877005	cord_blood
chr1	109470488	109470508	cg16275483	cord_blood
chr1	109763959	109763979	cg00491404	cord_blood
chr1	109783653	109783673	cg22391718	epithelial
chr1	109877412	109877432	cg08846079	epithelial
chr1	110674207	110674227	cg15726426	cord_blood
chr1	110872600	110872620	cg10516886	blood
chr1	111200388	111200408	cg08864105	blood
chr1	111200568	111200588	cg19269039	blood
chr1	111200639	111200659	cg24641737	blood
chr1	111200736	111200756	cg00619207	blood
chr1	111473954	111473974	cg23068939	blood
chr1	111504068	111504088	cg02947253	cord_blood
chr1	112697013	112697033	cg00719568	blood
chr1	116374987	116375007	cg04403423	cord_blood
chr1	116382981	116383001	cg17107017	cord_blood
chr1	145719503	145719523	cg20975414	cord_blood
chr1	147630093	147630113	cg07790752	cord_blood
chr1	149931278	149931298	cg18770149	cord_blood
chr1	149931413	149931433	cg13430807	blood
chr1	149937177	149937197	cg16348820	epithelial
chr1	151156812	151156832	cg23612220	epithelial
chr1	151157358	151157378	cg01903374	epithelial
chr1	151833175	151833195	cg03984502	blood
chr1	153545898	153545918	cg24691453	epithelial
chr1	154327755	154327775	cg16013543	blood
chr1	155014026	155014046	cg01782486	cord_blood
chr1	155245058	155245078	cg02834765	blood
chr1	155253925	155253945	cg01417714	cord_blood
chr1	157133839	157133859	cg16374333	cord_blood
chr1	158019720	158019740	cg08640619	epithelial
chr1	158930844	158930864	cg15036529	cord_blood
chr1	159896758	159896778	cg10970143	cord_blood
chr1	160523061	160523081	cg10671066	blood
chr1	160523289	160523309	cg21829783	epithelial
chr1	160647070	160647090	cg18881723	blood
chr1	160647292	160647312	cg01710351	blood
chr1	160647324	160647344	cg00149213	blood
chr1	160739187	160739207	cg04244970	blood
chr1	160739190	160739210	cg07837085	blood
chr1	160768213	160768233	cg03742629	epithelial
chr1	160837894	160837914	cg26572165	blood
chr1	160885154	160885174	cg21476940	cord_blood
chr1	161038662	161038682	cg00329300	epithelial
chr1	161038905	161038925	cg13466383	epithelial
chr1	161039011	161039031	cg24161057	epithelial
chr1	161039024	161039044	cg13906823	epithelial
chr1	161039026	161039046	cg12426196	epithelial
chr1	161039177	161039197	cg07967677	epithelial
chr1	161707652	161707672	cg11193201	cord_blood
chr1	162137032	162137052	cg23920016	epithelial
chr1	162530834	162530854	cg08538581	blood
chr1	162856315	162856335	cg04851348	epithelial
chr1	167439951	167439971	cg11958495	blood
chr1	167454718	167454738	cg12480903	blood
chr1	167518048	167518068	cg09032544	cord_blood
chr1	167518386	167518406	cg07786657	cord_blood
chr1	167632028	167632048	cg25765104	epithelial
chr1	168543819	168543839	cg12286890	cord_blood
chr1	168580242	168580262	cg27504555	cord_blood
chr1	168729101	168729121	cg26220985	epithelial
chr1	168729619	168729639	cg25746387	epithelial
chr1	169589677	169589697	cg01952742	epithelial
chr1	172144356	172144376	cg02633729	epithelial
chr1	172144606	172144626	cg25214966	epithelial
chr1	172322577	172322597	cg06267617	epithelial
chr1	172659364	172659384	cg15729230	cord_blood
chr1	176177959	176177979	cg07205154	cord_blood
chr1	178086988	178087008	cg09264231	epithelial
chr1	178341505	178341525	cg22730327	epithelial
chr1	179047088	179047108	cg24108508	cord_blood
chr1	179832482	179832502	cg00122659	cord_blood
chr1	182791755	182791775	cg02814691	cord_blood
chr1	183164591	183164611	cg16724070	epithelial
chr1	184975643	184975663	cg12141056	cord_blood
chr1	192737459	192737479	cg06804334	epithelial
chr1	193106051	193106071	cg15361231	cord_blood
chr1	197809163	197809183	cg24302127	cord_blood
chr1	198540529	198540549	cg12958813	cord_blood
chr1	198621598	198621618	cg10768932	blood
chr1	200379520	200379540	cg22628512	epithelial
chr1	202160428	202160448	cg18384097	epithelial
chr1	203187487	203187507	cg19081101	cord_blood
chr1	205294600	205294620	cg09030187	epithelial
chr1	206803334	206803354	cg15392364	cord_blood
chr1	206971012	206971032	cg02861504	blood
chr1	208101269	208101289	cg14201291	cord_blood
chr1	208220876	208220896	cg05626664	cord_blood
chr1	209756157	209756177	cg05959508	epithelial
chr1	209756191	209756211	cg22436753	epithelial
chr1	213996888	213996908	cg25379954	epithelial
chr1	214582136	214582156	cg22159939	epithelial
chr1	218489124	218489144	cg09871265	epithelial
chr1	220877139	220877159	cg10386298	epithelial
chr1	220877390	220877410	cg25140419	epithelial
chr1	220895583	220895603	cg25001102	epithelial
chr1	220895784	220895804	cg26047066	epithelial
chr1	223835585	223835605	cg03992323	cord_blood
chr1	224182443	224182463	cg23213217	blood
chr1	224377158	224377178	cg15595502	blood
chr1	224503563	224503583	cg07363543	blood
chr1	225755130	225755150	cg14520947	cord_blood
chr1	225825202	225825222	cg24928687	cord_blood
chr1	225848568	225848588	cg26341831	blood
chr1	225880190	225880210	cg17950169	cord_blood
chr1	226370785	226370805	cg18590995	cord_blood
chr1	226640939	226640959	cg20452738	cord_blood
chr1	228136309	228136329	cg07702659	blood
chr1	228805192	228805212	cg00095326	cord_blood
chr1	231828292	231828312	cg22367981	epithelial
chr1	232770090	232770110	cg18396992	cord_blood
chr1	234564880	234564900	cg16365424	epithelial
chr1	236399760	236399780	cg15086439	blood
chr1	243256753	243256773	cg05567236	cord_blood
chr1	244163939	244163959	cg15718528	epithelial
chr1	244303116	244303136	cg09828411	epithelial
chr1	246215198	246215218	cg25025181	cord_blood
chr1	247328396	247328416	cg12655059	cord_blood
chr1	247548925	247548945	cg18908499	epithelial
chr10	277699	277719	cg23128584	cord_blood
chr10	324027	324047	cg14931884	cord_blood
chr10	422397	422417	cg00562504	cord_blood
chr10	422436	422456	cg02594677	cord_blood
chr10	1110262	1110282	cg17715243	cord_blood
chr10	3467556	3467576	cg08698943	blood
chr10	3484521	3484541	cg03980424	cord_blood
chr10	3755269	3755289	cg02272851	epithelial
chr10	3782353	3782373	cg08614871	cord_blood
chr10	5462465	5462485	cg01275661	cord_blood
chr10	5840766	5840786	cg18184053	blood
chr10	5894453	5894473	cg12219469	cord_blood
chr10	5944515	5944535	cg14313184	epithelial
chr10	6062339	6062359	cg11733245	epithelial
chr10	6207775	6207795	cg27545615	cord_blood
chr10	7494528	7494548	cg24262870	cord_blood
chr10	8331443	8331463	cg27470208	cord_blood
chr10	8331686	8331706	cg09234252	cord_blood
chr10	8503030	8503050	cg17160666	epithelial
chr10	12720769	12720789	cg26433640	epithelial
chr10	13338760	13338780	cg02257172	epithelial
chr10	13707000	13707020	cg05335944	epithelial
chr10	14659806	14659826	cg04441857	epithelial
chr10	21316099	21316119	cg18918390	epithelial
chr10	21741095	21741115	cg14728071	cord_blood
chr10	24900927	24900947	cg03337218	cord_blood
chr10	26566968	26566988	cg22842855	epithelial
chr10	26567166	26567186	cg16492341	epithelial
chr10	26567189	26567209	cg10331073	epithelial
chr10	27158114	27158134	cg11759194	cord_blood
chr10	28939977	28939997	cg08834350	epithelial
chr10	29480531	29480551	cg07361056	blood
chr10	30435435	30435455	cg11230435	blood
chr10	30437592	30437612	cg04453471	blood
chr10	30529540	30529560	cg27482619	epithelial
chr10	30529702	30529722	cg25913612	epithelial
chr10	31315409	31315429	cg09968147	epithelial
chr10	33937642	33937662	cg19871722	cord_blood
chr10	34187153	34187173	cg14740976	epithelial
chr10	35128225	35128245	cg19215266	blood
chr10	35332206	35332226	cg00869330	epithelial
chr10	35459525	35459545	cg04780563	cord_blood
chr10	44206427	44206447	cg25920191	epithelial
chr10	45463427	45463447	cg25074794	blood
chr10	47176943	47176963	cg25942572	epithelial
chr10	48466477	48466497	cg16775752	epithelial
chr10	48672544	48672564	cg26121053	blood
chr10	50410659	50410679	cg11637084	blood
chr10	58734415	58734435	cg19795556	epithelial
chr10	60447099	60447119	cg13378013	cord_blood
chr10	61767244	61767264	cg22753630	blood
chr10	61987140	61987160	cg10502149	cord_blood
chr10	62234151	62234171	cg09695307	cord_blood
chr10	63614935	63614955	cg24940096	epithelial
chr10	63700247	63700267	cg09923954	cord_blood
chr10	70600582	70600602	cg05983405	cord_blood
chr10	70675535	70675555	cg23169883	blood
chr10	71774160	71774180	cg23282441	cord_blood
chr10	72109674	72109694	cg23723835	cord_blood
chr10	72244303	72244323	cg26033520	cord_blood
chr10	73932459	73932479	cg19034132	epithelial
chr10	74013150	74013170	cg07734159	cord_blood
chr10	74854860	74854880	cg24243879	cord_blood
chr10	75176317	75176337	cg14301562	blood
chr10	79067027	79067047	cg22620363	blood
chr10	79322422	79322442	cg10099930	cord_blood
chr10	80186779	80186799	cg11900509	cord_blood
chr10	80203642	80203662	cg02291020	blood
chr10	80466005	80466025	cg18923906	blood
chr10	80488087	80488107	cg08560387	blood
chr10	80503971	80503991	cg23463186	cord_blood
chr10	84173820	84173840	cg10737718	epithelial
chr10	85150720	85150740	cg19088503	epithelial
chr10	85643940	85643960	cg23909079	epithelial
chr10	88152962	88152982	cg07754940	blood
chr10	88271659	88271679	cg09221159	blood
chr10	88387263	88387283	cg17766305	cord_blood
chr10	89242823	89242843	cg12555086	cord_blood
chr10	89332145	89332165	cg27027427	cord_blood
chr10	89377855	89377875	cg15974642	cord_blood
chr10	90319833	90319853	cg12127811	epithelial
chr10	92238910	92238930	cg24238409	blood
chr10	92692787	92692807	cg07616394	blood
chr10	92789273	92789293	cg25131632	blood
chr10	93075857	93075877	cg16445268	cord_blood
chr10	93438607	93438627	cg20621765	epithelial
chr10	95476020	95476040	cg27065896	cord_blood
chr10	95832651	95832671	cg03610280	cord_blood
chr10	96272194	96272214	cg20540372	cord_blood
chr10	101566543	101566563	cg02072538	cord_blood
chr10	102342582	102342602	cg02631092	epithelial
chr10	102604751	102604771	cg18580385	epithelial
chr10	102652296	102652316	cg12673499	cord_blood
chr10	102712376	102712396	cg05024762	cord_blood
chr10	102863736	102863756	cg08330031	cord_blood
chr10	103231426	103231446	cg06984255	epithelial
chr10	104219048	104219068	cg00990350	epithelial
chr10	104253165	104253185	cg17927096	cord_blood
chr10	104333926	104333946	cg11276172	cord_blood
chr10	109926330	109926350	cg25667511	epithelial
chr10	109934155	109934175	cg24838825	blood
chr10	110082913	110082933	cg14742187	epithelial
chr10	110367617	110367637	cg26242064	cord_blood
chr10	112811926	112811946	cg09958560	epithelial
chr10	113151846	113151866	cg05923857	blood
chr10	113151883	113151903	cg24788483	blood
chr10	114306752	114306772	cg13670531	epithelial
chr10	114337812	114337832	cg04784635	cord_blood
chr10	114505093	114505113	cg04055345	epithelial
chr10	114538570	114538590	cg07978738	blood
chr10	116947417	116947437	cg08908131	cord_blood
chr10	119271870	119271890	cg24902461	cord_blood
chr10	119370231	119370251	cg14729344	blood
chr10	119653660	119653680	cg05617307	blood
chr10	122468952	122468972	cg00701951	blood
chr10	122469244	122469264	cg06474225	cord_blood
chr10	123539719	123539739	cg10076958	epithelial
chr10	124010563	124010583	cg05971678	cord_blood
chr10	124601392	124601412	cg17995557	blood
chr10	125156415	125156435	cg23992194	cord_blood
chr10	125201236	125201256	cg00806644	epithelial
chr10	126902418	126902438	cg22950831	epithelial
chr10	129946186	129946206	cg15229245	epithelial
chr10	131766292	131766312	cg19276014	blood
chr10	132136286	132136306	cg15301881	cord_blood
chr10	132586926	132586946	cg01040749	cord_blood
chr10	132586992	132587012	cg09163720	cord_blood
chr10	132988164	132988184	cg10148419	epithelial
chr10	133105157	133105177	cg27297441	epithelial
chr10	133277696	133277716	cg00805360	cord_blood
chr11	325020	325040	cg20151221	cord_blood
chr11	457268	457288	cg24247537	cord_blood
chr11	457294	457314	cg24420089	cord_blood
chr11	579188	579208	cg25535316	blood
chr11	856932	856952	cg09631059	cord_blood
chr11	857023	857043	cg22749642	cord_blood
chr11	857061	857081	cg20676047	cord_blood
chr11	859660	859680	cg24134897	cord_blood
chr11	915430	915450	cg14166189	cord_blood
chr11	1554367	1554387	cg05280206	blood
chr11	1554541	1554561	cg16941568	blood
chr11	1556766	1556786	cg20105848	blood
chr11	1660353	1660373	cg09467675	epithelial
chr11	2266494	2266514	cg14907310	blood
chr11	2300530	2300550	cg05608541	epithelial
chr11	2300715	2300735	cg11525052	blood
chr11	3000765	3000785	cg15569292	epithelial
chr11	3014616	3014636	cg20651018	cord_blood
chr11	3203819	3203839	cg03347559	blood
chr11	4576006	4576026	cg16497714	epithelial
chr11	5244752	5244772	cg26078436	cord_blood
chr11	6204519	6204539	cg10611016	blood
chr11	6413849	6413869	cg16230121	cord_blood
chr11	8671264	8671284	cg08616663	epithelial
chr11	8933013	8933033	cg08568550	cord_blood
chr11	9661084	9661104	cg10649130	cord_blood
chr11	10859078	10859098	cg08635931	blood
chr11	12114848	12114868	cg23044178	cord_blood
chr11	12159910	12159930	cg04468741	blood
chr11	12802726	12802746	cg25037165	epithelial
chr11	12914340	12914360	cg15805337	epithelial
chr11	13052347	13052367	cg04844534	cord_blood
chr11	13673090	13673110	cg16636767	blood
chr11	13924158	13924178	cg26473818	cord_blood
chr11	14015881	14015901	cg02635370	epithelial
chr11	16002152	16002172	cg10825530	blood
chr11	17012927	17012947	cg03198203	epithelial
chr11	20022415	20022435	cg02404377	epithelial
chr11	20022912	20022932	cg20949700	epithelial
chr11	20023066	20023086	cg09571376	epithelial
chr11	20023083	20023103	cg26869615	epithelial
chr11	27421416	27421436	cg16964946	cord_blood
chr11	27469401	27469421	cg03763118	epithelial
chr11	32033677	32033697	cg01110616	blood
chr11	33286789	33286809	cg25600606	blood
chr11	33732801	33732821	cg05344747	cord_blood
chr11	34243804	34243824	cg02697979	epithelial
chr11	34620906	34620926	cg13084525	cord_blood
chr11	34632676	34632696	cg18560551	epithelial
chr11	34681389	34681409	cg13714378	epithelial
chr11	35083642	35083662	cg18437209	blood
chr11	35142928	35142948	cg14082886	blood
chr11	35145484	35145504	cg02663352	cord_blood
chr11	36500583	36500603	cg01476222	cord_blood
chr11	36594455	36594475	cg21671607	blood
chr11	43831323	43831343	cg14753094	epithelial
chr11	44466932	44466952	cg15503018	epithelial
chr11	44905661	44905681	cg00568164	cord_blood
chr11	45093281	45093301	cg24904788	blood
chr11	46345253	46345273	cg07998213	blood
chr11	46345280	46345300	cg13247398	blood
chr11	46345317	46345337	cg20029347	blood
chr11	47378252	47378272	cg15982099	cord_blood
chr11	47590218	47590238	cg18356785	epithelial
chr11	47716932	47716952	cg16316344	cord_blood
chr11	47918207	47918227	cg15657641	blood
chr11	57322254	57322274	cg13487312	cord_blood
chr11	57322260	57322280	cg20343063	cord_blood
chr11	59058931	59058951	cg26552743	blood
chr11	59058992	59059012	cg16148346	blood
chr11	59103011	59103031	cg20302957	cord_blood
chr11	60185562	60185582	cg05995607	cord_blood
chr11	60971489	60971509	cg13014558	epithelial
chr11	60971690	60971710	cg07380416	epithelial
chr11	60971701	60971721	cg09153080	epithelial
chr11	61065896	61065916	cg11465943	blood
chr11	61066049	61066069	cg02661764	blood
chr11	61357878	61357898	cg14331899	blood
chr11	61880650	61880670	cg05579731	blood
chr11	61920454	61920474	cg19043798	cord_blood
chr11	63537132	63537152	cg04999352	cord_blood
chr11	64206671	64206691	cg07682037	epithelial
chr11	64612104	64612124	cg27122888	blood
chr11	64780164	64780184	cg03419136	blood
chr11	64868292	64868312	cg07019638	blood
chr11	65408001	65408021	cg22212560	blood
chr11	65428644	65428664	cg22843803	blood
chr11	65546127	65546147	cg04948284	cord_blood
chr11	65547549	65547569	cg23272978	cord_blood
chr11	65639918	65639938	cg06975311	blood
chr11	65894035	65894055	cg07420137	epithelial
chr11	66315743	66315763	cg20367218	blood
chr11	66316060	66316080	cg11067179	blood
chr11	66316092	66316112	cg22213242	blood
chr11	66316216	66316236	cg06419846	blood
chr11	66316285	66316305	cg05496363	blood
chr11	66316682	66316702	cg14027234	cord_blood
chr11	66465702	66465722	cg00157359	cord_blood
chr11	67286348	67286368	cg13924996	blood
chr11	67304165	67304185	cg22632840	blood
chr11	67440017	67440037	cg01525879	blood
chr11	67440118	67440138	cg02222982	cord_blood
chr11	68211177	68211197	cg23796243	cord_blood
chr11	68371755	68371775	cg13738327	blood
chr11	68707831	68707851	cg19677259	cord_blood
chr11	69073546	69073566	cg11361442	cord_blood
chr11	70365292	70365312	cg14088196	epithelial
chr11	70365415	70365435	cg25574765	epithelial
chr11	70717149	70717169	cg26645082	epithelial
chr11	71945369	71945389	cg06363692	epithelial
chr11	72079223	72079243	cg07332880	cord_blood
chr11	72590670	72590690	cg26268145	blood
chr11	73367781	73367801	cg05975710	blood
chr11	78081659	78081679	cg26748758	cord_blood
chr11	86513358	86513378	cg27309871	blood
chr11	86593236	86593256	cg21067465	epithelial
chr11	87425997	87426017	cg11779299	epithelial
chr11	88555352	88555372	cg22834542	epithelial
chr11	89734499	89734519	cg24919476	epithelial
chr11	95108210	95108230	cg26402417	cord_blood
chr11	95925295	95925315	cg08412316	epithelial
chr11	96112943	96112963	cg04677410	cord_blood
chr11	96338332	96338352	cg24088496	blood
chr11	100562276	100562296	cg05494668	epithelial
chr11	100992053	100992073	cg06965373	cord_blood
chr11	104907637	104907657	cg20679448	epithelial
chr11	108552054	108552074	cg10593028	cord_blood
chr11	108552387	108552407	cg16934235	cord_blood
chr11	110479840	110479860	cg10624395	blood
chr11	111698251	111698271	cg02051688	cord_blood
chr11	112634956	112634976	cg24838237	epithelial
chr11	117285142	117285162	cg26997966	cord_blood
chr11	118224819	118224839	cg03234777	blood
chr11	118304906	118304926	cg24612198	cord_blood
chr11	118304950	118304970	cg06164961	cord_blood
chr11	118339292	118339312	cg25643644	cord_blood
chr11	118342605	118342625	cg24841244	cord_blood
chr11	118344120	118344140	cg13750061	cord_blood
chr11	118344202	118344222	cg07545925	cord_blood
chr11	118999202	118999222	cg10090591	epithelial
chr11	119116140	119116160	cg22259797	cord_blood
chr11	119166566	119166586	cg15552491	cord_blood
chr11	119361021	119361041	cg19246197	epithelial
chr11	121570161	121570181	cg17232476	blood
chr11	122838753	122838773	cg10977115	cord_blood
chr11	122838833	122838853	cg22512531	cord_blood
chr11	122879303	122879323	cg03803474	epithelial
chr11	123452908	123452928	cg08428868	cord_blood
chr11	123454116	123454136	cg11596902	cord_blood
chr11	123905218	123905238	cg12387464	epithelial
chr11	128180702	128180722	cg08079170	epithelial
chr11	128310172	128310192	cg22668906	cord_blood
chr11	128448644	128448664	cg21121082	epithelial
chr11	128480730	128480750	cg24662823	blood
chr11	128515975	128515995	cg11760500	cord_blood
chr11	128587495	128587515	cg10290679	epithelial
chr11	128689339	128689359	cg13401014	epithelial
chr11	128697053	128697073	cg03798942	blood
chr11	128777202	128777222	cg00344445	cord_blood
chr11	128840217	128840237	cg25893560	blood
chr11	129861910	129861930	cg09449150	epithelial
chr11	134256419	134256439	cg19037107	blood
chr11	134256460	134256480	cg01692842	blood
chr12	262873	262893	cg15607358	blood
chr12	570724	570744	cg01657186	epithelial
chr12	1590835	1590855	cg17824906	blood
chr12	1932531	1932551	cg03131366	cord_blood
chr12	3318287	3318307	cg19171792	cord_blood
chr12	4589909	4589929	cg06270401	blood
chr12	4590056	4590076	cg09581911	cord_blood
chr12	4590442	4590462	cg09418321	cord_blood
chr12	6333790	6333810	cg23752651	cord_blood
chr12	6377904	6377924	cg13126638	cord_blood
chr12	6434351	6434371	cg17458693	cord_blood
chr12	6540818	6540838	cg02607544	blood
chr12	6778859	6778879	cg11429292	blood
chr12	6786929	6786949	cg00366435	blood
chr12	6946279	6946299	cg25719851	blood
chr12	6946510	6946530	cg12690127	epithelial
chr12	7787940	7787960	cg10660253	cord_blood
chr12	9607047	9607067	cg13995453	cord_blood
chr12	9758683	9758703	cg07354583	epithelial
chr12	10172309	10172329	cg21685770	blood
chr12	10304276	10304296	cg05377120	cord_blood
chr12	10307303	10307323	cg15241779	blood
chr12	10307314	10307334	cg09261289	blood
chr12	10307363	10307383	cg13828440	blood
chr12	10308003	10308023	cg21474838	blood
chr12	10308030	10308050	cg01940139	blood
chr12	10312663	10312683	cg15956469	blood
chr12	10392474	10392494	cg26986871	blood
chr12	10453327	10453347	cg21125628	cord_blood
chr12	10722125	10722145	cg05587756	cord_blood
chr12	10940674	10940694	cg13005635	epithelial
chr12	11556171	11556191	cg21747310	blood
chr12	11651171	11651191	cg12403778	blood
chr12	12069969	12069989	cg27366072	cord_blood
chr12	13103925	13103945	cg08897688	cord_blood
chr12	14772009	14772029	cg08746853	cord_blood
chr12	14843564	14843584	cg24390871	cord_blood
chr12	14843571	14843591	cg15733114	cord_blood
chr12	14843583	14843603	cg04228042	cord_blood
chr12	14843643	14843663	cg10047173	cord_blood
chr12	14960149	14960169	cg22614759	epithelial
chr12	14961960	14961980	cg08251901	epithelial
chr12	22535799	22535819	cg21005240	blood
chr12	26972152	26972172	cg24957609	blood
chr12	27243286	27243306	cg03766264	cord_blood
chr12	31323535	31323555	cg14741228	epithelial
chr12	31323621	31323641	cg03935116	epithelial
chr12	47216427	47216447	cg05596756	epithelial
chr12	47216578	47216598	cg00037681	epithelial
chr12	48008261	48008281	cg06585804	epithelial
chr12	49489957	49489977	cg02964356	epithelial
chr12	49558614	49558634	cg14267862	cord_blood
chr12	50111370	50111390	cg03191029	cord_blood
chr12	50745528	50745548	cg19055828	blood
chr12	51323880	51323900	cg10590292	epithelial
chr12	51324184	51324204	cg06380123	epithelial
chr12	51324294	51324314	cg14556909	epithelial
chr12	51324314	51324334	cg24749672	epithelial
chr12	51324318	51324338	cg08075204	epithelial
chr12	51684968	51684988	cg15029631	blood
chr12	52603572	52603592	cg24402372	cord_blood
chr12	52836239	52836259	cg16919680	cord_blood
chr12	52904589	52904609	cg07986666	epithelial
chr12	52905094	52905114	cg21340733	epithelial
chr12	52926512	52926532	cg17781464	epithelial
chr12	53103048	53103068	cg04062576	blood
chr12	53103353	53103373	cg04875514	cord_blood
chr12	54497697	54497717	cg17605084	epithelial
chr12	54497840	54497860	cg16509569	epithelial
chr12	54497842	54497862	cg21376733	epithelial
chr12	54982065	54982085	cg01874152	cord_blood
chr12	54983103	54983123	cg25486399	blood
chr12	54984617	54984637	cg00240653	epithelial
chr12	55219524	55219544	cg26442740	epithelial
chr12	55718150	55718170	cg12926596	epithelial
chr12	55928873	55928893	cg08338281	cord_blood
chr12	55935821	55935841	cg25416125	blood
chr12	55935847	55935867	cg07679948	blood
chr12	55935937	55935957	cg10782923	blood
chr12	55936109	55936129	cg06915826	cord_blood
chr12	56425266	56425286	cg09107438	cord_blood
chr12	57094319	57094339	cg07134316	cord_blood
chr12	57478330	57478350	cg06015525	blood
chr12	57726444	57726464	cg14845962	epithelial
chr12	57726842	57726862	cg24217894	epithelial
chr12	57736390	57736410	cg00769161	epithelial
chr12	57736617	57736637	cg12116027	epithelial
chr12	64088807	64088827	cg01668352	epithelial
